D316,Jigeng563,modern cultivar,2019,japonica,Jilin,NE,14.52,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536784/CRR1536784_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536784/CRR1536784_r2.fq.gz
D152,Dongdao617,modern cultivar,2019,japonica,Jilin,NE,15.27,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535031/CRR1535031_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535031/CRR1535031_r2.fq.gz
D3786,CNR140,modern cultivar,2019,indica,Zhejiang,CC-I,11.03,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537355/CRR1537355_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537355/CRR1537355_r2.fq.gz
D2388,Qianma9w-2,modern cultivar,2019,indica,Guizhou,SW-I,13.62,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535982/CRR1535982_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535982/CRR1535982_r2.fq.gz
D921,Longken2013,modern cultivar,2020,japonica,Heilongjiang,NE,15.82,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1538122/CRR1538122_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1538122/CRR1538122_r2.fq.gz
D392,Jinongda2073,modern cultivar,2020,japonica,Jilin,NE,11.48,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537466/CRR1537466_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537466/CRR1537466_r2.fq.gz
D2530,Qitezhan,modern cultivar,2020,indica,Guangdong,SC,16.23,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536152/CRR1536152_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536152/CRR1536152_r2.fq.gz
D515,Liaoxu36,modern cultivar,2020,japonica,Jilin,NE,11.86,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537657/CRR1537657_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537657/CRR1537657_r2.fq.gz
D2310,Wanxiangsimiao,modern cultivar,2020,indica,Jiangxi,CC-I,12.89,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535901/CRR1535901_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535901/CRR1535901_r2.fq.gz
D1996,Yunkegeng1,modern cultivar,2021,japonica,Yunnan,SW-J,12.05,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535548/CRR1535548_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535548/CRR1535548_r2.fq.gz
