samples	Seed_setting_rate
ZJM825	0.86
ZJM826	0.84
ZJM829	0.8
ZJM830	0.71
ZJM834	0.89
ZJM845	0.8
ZJM847	0.76
ZJM851	0.79
ZJM853	0.76
ZJM854	0.74
ZJM856	0.81
ZJM857	0.85
ZJM866	0.82
ZJM867	0.82
ZJM869	0.88
ZJM874	0.76
ZJM875	0.7
ZJM880	0.79
ZJM881	0.87
ZJM883	0.67
ZJM884	0.83
ZJM885	0.76
ZJM886	0.82
ZJM889	0.88
ZJM894	0.81
ZJM897	0.9
ZJM898	0.83
ZJM899	0.89
ZJM900	0.85
ZJM901	0.9
ZJM903	0.86
ZJM904	0.91
ZJM905	0.76
ZJM908	0.86
ZJM909	0.89
ZJM910	0.87
ZJM912	0.88
ZJM915	0.77
ZJM919	0.79
ZJM921	0.73
ZJM926	0.93
ZJM932	0.82
ZJM934	0.83
ZJM940	0.87
ZJM941	0.84
ZJM946	0.89
ZJM948	0.92
ZJM950	0.79
ZJM951	0.78
ZJM955	0.61
ZJM960	0.83
ZJM962	0.89
ZJM963	0.82
ZJM965	0.86
ZJM966	0.87
ZJM967	0.85
ZJM971	0.88
ZJM972	0.76
ZJM973	0.72
ZJM975	0.89
ZJM977	0.78
ZJM978	0.9
ZJM983	0.86
ZJM985	0.74
ZJM992	0.83
ZJM993	0.82
ZJM996	0.74
ZJM997	0.78
ZJM998	0.87
ZJM1001	0.79
ZJM1003	0.8
ZJM1005	0.81
ZJM1006	0.82
ZJM1008	0.76
ZJM1009	0.77
ZJM1012	0.89
ZJM1014	0.9
ZJM1016	0.74
ZJM1017	0.88
ZJM1021	0.87
ZJM1022	0.9
ZJM1023	0.82
ZJM1024	0.9
ZJM1025	0.83
ZJM1026	0.79
ZJM1027	0.88
ZJM1029	0.8
ZJM1030	0.85
ZJM1033	0.73
ZJM1036	0.86
ZJM1038	0.9
ZJM1039	0.73
ZJM1040	0.93
ZJM1050	0.71
ZJM1061	0.79
ZJM1069	0.76
ZJM1070	0.94
ZJM1072	0.74
ZJM1073	0.76
ZJM1080	0.82
ZJM1081	0.87
ZJM1082	0.91
ZJM1086	0.84
ZJM1089	0.74
ZJM1090	0.85
ZJM1091	0.86
ZJM1092	0.83
ZJM1093	0.7
ZJM1094	0.87
ZJM1096	0.87
ZJM1098	0.88
ZJM1099	0.9
ZJM1102	0.8
ZJM1103	0.82
ZJM1107	0.7
ZJM1108	0.8
ZJM1111	0.87
ZJM1112	0.89
ZJM1115	0.83
ZJM1117	0.81
ZJM1119	0.8
ZJM1120	0.88
ZJM1122	0.9
ZJM1123	0.9
ZJM1138	0.78
ZJM1139	0.93
ZJM1142	0.83
ZJM1144	0.85
ZJM1145	0.82
